,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'Rainfall_Category_Medium'}),frozenset({'Yield_Category_Medium'}),0.110995,0.169936,0.061085,0.5503401054101537,3.238513942955899,1.0,0.04222295368,1.8459818409136448,0.7775168847573951,0.2778535884209856,0.4582828618156596,0.4548994802542718
1,"frozenset({'Irrigation_Used', 'Temperature_Category_Hot', 'Fertilizer_Used', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.077918,0.424435,0.072243,0.9271670217408045,2.184473527726989,1.0,0.03917187367,7.902532805286345,0.5880429242321871,0.167964009206947,0.8734582918363772,0.548688415037118
2,"frozenset({'Irrigation_Used', 'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Temperature_Category_Warm'})",0.194273,0.165283,0.069097,0.355669598966403,2.1518825225002147,1.0,0.036986975741,1.2954797704112608,0.6643573030118047,0.2378889963815892,0.2280852060835025,0.3868611361300436
3,"frozenset({'Irrigation_Used', 'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Weather_Condition_Rainy', 'Yield_Category_Very High'})",0.194273,0.141576,0.058425,0.3007365923211151,2.124206025887969,1.0,0.0309206057519999,1.2276117848772157,0.656842666075146,0.210598217890305,0.1854102312157105,0.3567062347942242
4,"frozenset({'Irrigation_Used', 'Weather_Condition_Rainy', 'Fertilizer_Used', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.064889,0.424435,0.058425,0.9003837322196365,2.121370132575392,1.0,0.0308838372849999,5.777821362159648,0.5652874826357627,0.1355886182144771,0.8269243825104663,0.5190186593761605
5,"frozenset({'Irrigation_Used', 'Weather_Condition_Sunny', 'Fertilizer_Used', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.064838,0.424435,0.05828,0.8988556093648785,2.117769763014074,1.0,0.0307604834699999,5.690528129002739,0.5643996852625082,0.1352226138243544,0.8242693863679663,0.5180837826295925
6,"frozenset({'Fertilizer_Used', 'Irrigation_Used', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.194273,0.424435,0.174564,0.8985499786383079,2.11704967459872,1.0,0.092107739245,5.673384709777255,0.6548676253786516,0.3930346914514211,0.8237383764445508,0.6549177850358125
7,"frozenset({'Irrigation_Used', 'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Weather_Condition_Sunny'})",0.194273,0.141879,0.05828,0.2999902199482172,2.1144088973577286,1.0,0.0307167410329999,1.2258700156110975,0.6541354353245393,0.209736857258018,0.1842528267554542,0.3553813898322976
8,"frozenset({'Irrigation_Used', 'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Weather_Condition_Cloudy'})",0.194273,0.14098,0.057859,0.2978231663689756,2.1125206864021537,1.0,0.03047039246,1.2233670478103422,0.6536107817356746,0.2085805749223126,0.1825838354973989,0.3541144488391906
9,"frozenset({'Irrigation_Used', 'Fertilizer_Used', 'Weather_Condition_Cloudy', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.064546,0.424435,0.057859,0.8963994670467573,2.1119829115100246,1.0,0.0304634184899999,5.555618138178554,0.5628404180766154,0.1342056308887043,0.8200020276541439,0.5163597580265417
10,"frozenset({'Irrigation_Used', 'Fertilizer_Used', 'Temperature_Category_Warm', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.077532,0.424435,0.069097,0.8912062116287469,2.099747220725781,1.0,0.03618970558,5.290421526970958,0.5677727545516597,0.1596252916580035,0.8109791450639753,0.5270019065730291
11,"frozenset({'Irrigation_Used', 'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Temperature_Category_Hot'})",0.194273,0.182928,0.072243,0.3718633057604505,2.0328397279828705,1.0,0.036705028656,1.3007869266246006,0.6305824476112317,0.2368949166770506,0.2312345861324956,0.3833945891174333
12,"frozenset({'Fertilizer_Used', 'Temperature_Category_Hot', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.15571,0.424435,0.121313,0.7790957549290348,1.835606759407294,1.0,0.05522422615,2.6054954254731526,0.5391761220120427,0.2643952470621055,0.6161958335358036,0.5324590417181723
13,"frozenset({'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Temperature_Category_Mild'})",0.388289,0.076224,0.053826,0.1386235510148369,1.818633908150148,1.0,0.024229059264,1.0724416729623307,0.7358650134119904,0.1310633158585492,0.067548356977056,0.4223895462882748
14,"frozenset({'Fertilizer_Used', 'Temperature_Category_Hot', 'Irrigation_Used'})",frozenset({'Yield_Category_Very High'}),0.100251,0.424435,0.075711,0.7552144118263159,1.7793405629279295,1.0,0.033160966815,2.351302641198043,0.4867958071575726,0.1686307700874213,0.5747038333225889,0.4667975413002019
15,"frozenset({'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Temperature_Category_Warm'})",0.388289,0.165283,0.113322,0.2918496274682002,1.7657570800880928,1.0,0.0491444292129999,1.1787284627355283,0.7089470087241515,0.2574037478705281,0.151628189515968,0.4887368391692628
16,"frozenset({'Fertilizer_Used', 'Weather_Condition_Rainy', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.128966,0.424435,0.096036,0.7446613836204891,1.7544768542191125,1.0,0.04129831579,2.2541243786820524,0.4937000489142955,0.2099767144403266,0.55636875699615,0.4854646228008555
17,"frozenset({'Region_East', 'Fertilizer_Used', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.096862,0.424435,0.072118,0.7445437839400384,1.7541997807439027,1.0,0.0310063770299999,2.2530866888942773,0.4760507279545116,0.160555146166673,0.5561644365797753,0.4572295415512271
18,"frozenset({'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Region_East', 'Yield_Category_Very High'})",0.388289,0.105895,0.072118,0.1857327918122841,1.753933536165864,1.0,0.031000136345,1.0980486393280853,0.7027059640631406,0.1708690110077571,0.0892935301919619,0.4333829453182956
19,"frozenset({'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Yield_Category_Very High', 'Weather_Condition_Cloudy'})",0.388289,0.14098,0.095966,0.2471509622987001,1.7530923698304737,1.0,0.04122501678,1.141025566855841,0.7022587477247596,0.2214755032852299,0.1235954486492749,0.4639287227439025
20,"frozenset({'Fertilizer_Used', 'Rainfall_Category_Very High'})","frozenset({'Region_South', 'Yield_Category_Very High'})",0.388289,0.105885,0.072062,0.1855885693388172,1.7527371142165296,1.0,0.030948019235,1.0978664669209144,0.7020697428189158,0.1707177242058979,0.0891424138268759,0.4330785553404196
21,"frozenset({'Fertilizer_Used', 'Region_North', 'Rainfall_Category_Very High'})",frozenset({'Yield_Category_Very High'}),0.097091,0.424435,0.072219,0.7438279552172705,1.7525132357540507,1.0,0.031010181415,2.246790825627212,0.4755638720063589,0.1607341973305557,0.5549207391298472,0.4569906088949335
